,German,English
283,Freund,Friend
284,richtig,correct
285,Angst,Fear
286,Bist,Are
287,Tut,Does
288,Mit,With
289,viele,many
290,sieht,sees
291,Haus,House
292,tot,dead
293,sollen,should
294,ganze,whole
295,andere,other
296,getan,did
297,okay,OK
298,rein,pure
299,Diese,This
300,Moment,moment
301,bleiben,remain
302,brauchen,need
303,Weil,Because
304,Kinder,Children
305,unter,under
306,Arbeit,Work
307,Für,For
308,Problem,problem
309,dafür,for that
310,Herr,Mister
311,Haben,Have
312,wegen,because of
313,geht's,it's okay
314,liebe,love
315,genug,enough
316,dabei,included
317,bringen,bring
318,Ihre,Her
319,ne,no
320,gegen,against
321,Weißt,You know
322,Sag,Say
323,schnell,fast
324,nun,so
325,eines,one
326,brauche,need
327,Abend,Evening
328,hatten,had
329,Jahre,Years
330,Mach,Do
331,Bruder,Brother
332,Sache,Matter
333,hören,hear
334,komm,come
335,Sohn,Son
336,seit,since
337,Morgen,Morning
338,drei,three
339,steht,stands
340,Scheiße,shit
341,mag,likes
342,sei,be
343,unser,our
344,konnte,could
345,habt,have
346,Oder,Or
347,einmal,once
348,heißt,is called
349,OK,OK
350,Willst,Want
351,Kopf,Head
352,Hilfe,Help
353,Familie,Family
354,Geh,Go
355,Baby,baby
356,Dich,You
357,Sind,Are
358,erst,first
359,fertig,complete
360,gefunden,found
361,seid,are
362,kam,came
363,morgen,morning
364,sprechen,speak
365,Mir,Me
366,sofort,immediately
367,Kann,Can
368,Hat,Has
369,Jahren,years
370,Kind,child
371,seinen,his
372,Genau,Exactly
373,daran,to it
374,Junge,Boy
375,Minuten,minutes
376,bevor,before
377,Stadt,City
378,beim,at the
379,sterben,die
380,warst,were
381,Recht,Right
382,glauben,believe
383,Warte,Wait
384,darüber,about it
385,deiner,yours
386,deinem,yours
387,Ende,End
388,He,Hey
389,Dinge,Things
390,Namen,names
391,wahr,true
392,Alle,All
393,allein,alone
394,Natürlich,Naturally
395,töten,kill
396,Nichts,Nothing
397,Wirklich,Really
398,bekommen,receive
399,Männer,Men
400,vergessen,forget
401,Doch,But
402,dazu,in addition
403,gab,gave
404,wusste,knew
405,Augen,Eyes
406,Dank,Thanks to
407,Freunde,Friends
408,Jungs,guys
409,halten,hold
410,warten,wait
411,Glück,Luck
412,beide,both
413,Dein,Your
414,kennen,know
415,Deine,Your
416,n,n
417,Hi,Hi
418,Dr,Dr
419,Auto,car
420,sage,saw
421,gehe,go
422,komme,come
423,Dir,You
424,mache,make
425,Von,From
426,Uhr,Clock
427,sehe,see
428,sonst,otherwise
429,Art,Art
430,gern,gladly
431,Liebe,Love
432,jeden,every
433,könnten,could
434,ihren,your
435,Halt,Stop
436,Fall,case
437,Dad,Dad
438,Film,film
439,bisschen,a little
440,eigentlich,actually
441,weit,far
442,mach,do
443,Gib,Give
444,verstehe,understand
445,danke,Thanks
446,drin,inside
447,Im,In the
448,Name,name
449,ganzen,entire
450,Musik,Music
451,würden,would
452,Tür,door
453,verrückt,crazy
454,solltest,should
455,denken,think
456,dran,your turn
457,Sieh,See
458,lieber,Dear
459,Den,The
460,leben,life
461,Guten,Good
462,Um,Um
463,darauf,on it
464,Kein,No
465,stimmt,true
466,Kerl,guy
467,letzte,last
468,Job,job
469,verloren,lost
470,wurden,became
471,kenne,know
472,Ahnung,Idea
473,seiner,his
474,Grund,Reason
475,toll,great
476,Bis,Until
477,Verdammt,Damned
478,bald,soon
479,bereit,ready
480,all,all
481,jemanden,someone
482,hinter,behind
483,Schon,Already
484,Sehr,Very
485,Hand,hand
486,darf,may
487,Dieser,This
488,Frauen,Women
489,Euch,You
490,Idee,idea
491,runter,down
492,Macht,Power
493,draußen,outside
494,lang,long
495,Land,country
496,lass,let
497,Typ,type
498,hätten,would have
499,egal,doesn't matter
500,arbeiten,work
501,spät,late
502,stehen,stand
503,ok,OK
504,Gute,Good
505,gekommen,came
506,Bei,At
507,etwa,approximately
508,essen,eat
509,kleine,small
510,jeder,everyone
511,Schwester,Sister
512,Wasser,Water
513,spielen,play
514,Geschichte,Story
515,seinem,his
516,liegt,lies
517,sah,saw
518,Mom,Mom
519,Seite,Page
520,wenig,few
521,ruhig,quiet
522,Frage,Ask
523,meinst,mean
524,überhaupt,at all
525,fahren,drive
526,Gehen,Go
527,Essen,Eat
528,Ruhe,Quiet
529,echt,real
530,versucht,tried
531,Tochter,Daughter
532,Kommt,Comes
533,Einen,A
534,ging,went
535,Jahr,Year
536,braucht,needs
537,fast,almost
538,neue,new
539,geh,go
540,ziemlich,quite
541,anders,different
542,siehst,see
543,Polizei,police
544,Stunden,Hours
545,musste,had to
546,Spiel,Game
547,gewesen,been
548,gerne,gladly
549,finde,find
550,Tod,Death
551,Ort,Location
552,Chance,chance
553,bedeutet,means
554,War,Was
555,sag,say
556,sagst,say
557,fragen,questions
558,letzten,last
559,sogar,even
560,ersten,first
561,Sachen,Things
562,Wahrheit,Truth
563,einzige,only
564,kurz,short
565,denen,those
566,Kommen,Come
567,Spaß,Fun
568,Nach,After
569,oben,above
570,schwer,difficult
571,Schule,School
572,je,ever
573,eben,even
574,Gesicht,Face
575,bestimmt,certainly
576,treffen,meet
577,niemand,no one
578,Entschuldigung,Excuse me
579,Sorgen,Care for
580,warte,wait
581,natürlich,naturally
582,schlecht,bad
583,große,size
584,getötet,killed
585,verstehen,understand
586,hoffe,hope
587,Ah,Uh
588,Sei,Be
589,Zimmer,Room
590,hoch,high
591,unserer,ours
592,Tage,days
593,Teil,Part
594,Wann,When
595,suchen,seek
596,verlassen,leave
597,zeigen,show
598,wollten,wanted
599,lässt,lets
600,Wort,Word
601,eins,one
602,zwischen,between
603,Woher,From where
604,Schatz,Treasure
605,Wissen,To know
606,versuchen,attempt
607,Können,Can
608,Kannst,Can
609,nett,nice
610,Zu,To
611,kriegen,get
612,Geht,Goes
613,Arsch,ass
614,Hab,Have
615,weiss,white
616,erste,first
617,läuft,running
618,kommst,come
619,Freundin,Girlfriend
620,Mensch,Person
621,beiden,both
622,Ding,thing
623,niemals,never
624,endlich,finally
625,Nimm,Take
626,muß,must
627,gehst,go
628,Heute,Today
629,denkst,think
630,Herz,Heart
631,Waffe,weapon
632,Soll,Should
633,tust,do
634,Dollar,dollar
635,nehme,take
636,Schau,Look
637,holen,fetch
638,oft,often
639,drauf,on it
640,anderes,other
641,Niemand,No one
642,unten,below
643,Wagen,Dare
644,Yeah,Yeah
645,Schön,Nice
646,wichtig,important
647,Mrs,Mrs
648,hättest,would have
649,allen,everyone
650,Miss,Miss
651,ihrer,theirs
652,gedacht,thought
653,Nummer,number
654,würdest,would
655,erzählen,tell
656,bleibt,remains
657,Auch,Also
658,Hände,hands
659,Blut,blood
660,Sehen,See
661,bloß,just
662,recht,right
663,bringt,brings
664,Bett,Bed
665,Lassen,Let
666,Eltern,Parents
667,gefällt,pleases
668,Schuld,Fault
669,eure,your
670,Plan,plan
671,Krieg,War
672,neuen,new
673,Klar,Clear
674,retten,save
675,guter,goods
676,während,while
677,ihrem,theirs
678,wären,would be
679,Fehler,Mistake
680,scheint,appears
681,Lasst,Let
682,gegeben,given
683,An,To
684,hör,listen
685,glücklich,happy
686,verdammt,damned
687,alt,old
688,Platz,Place
689,darum,therefore
690,Vielen,Many
691,falsch,incorrect
692,unseren,ours
693,schlafen,sleep
694,Sagen,Say
695,nächsten,next
696,fünf,five
697,frei,free
698,Sorge,Worries
699,Vor,Before
700,fest,firmly
701,bereits,already
702,alleine,alone
703,Denn,Because
704,Zwei,Two
705,Fragen,Questions
706,möglich,possible
707,irgendwie,somehow
708,Papa,papa
709,lernen,learn
710,gestern,yesterday
711,hierher,here
712,Schiff,Ship
713,vier,four
714,irgendwas,something
715,Stimmt,True
716,Menge,Crowd
717,keiner,none
718,brauchst,need
719,Typen,Types
720,Dass,That
721,Stunde,Hour
722,Szene,scene
723,Hölle,hell
724,einige,some
725,Deshalb,For this reason
726,geworden,become
727,Telefon,phone
728,Darf,May
729,Feuer,Fire
730,Wollen,Want
731,Bin,Am
732,Alter,Old
733,Captain,Captain
734,Aus,Out of
735,Dieses,This
736,Probleme,problems
737,Jeder,Everyone
738,verstanden,understood
739,wann,When
740,alten,old
741,gibt's,there is
742,sondern,rather
743,guten,good
744,zwar,that is
745,eigenen,own
746,New,New
747,Körper,Body
748,hört,hears
749,Zum,For the
750,gebe,give
751,Kumpel,Buddy
752,Hund,Dog
753,nochmal,again
754,hab's,got it
755,früh,early
756,Hören,Hear
757,trinken,drink
758,besten,best
759,meines,mine
760,schaffen,create
761,alte,old ones
762,Luft,Air
763,Jemand,Someone
764,dürfen,may
765,Erde,Earth
766,Seit,Since
767,Sicher,secure
768,Hört,Listen
769,Zukunft,Future
770,kaum,barely
771,funktioniert,functions
772,voll,full
773,Bleib,Stay
774,reicht,suffices
775,weh,sore
776,stellen,place
777,Siehst,See
778,kleiner,smaller
779,großen,big
780,Waffen,Weapons
781,Büro,Office
782,Wahl,Choice
783,verlieren,lose
784,Wochen,weeks
785,Damit,With it
786,Stück,Piece
787,lieben,love
788,allem,everything
789,getroffen,met
790,äh,uh
791,Am,On
792,geschafft,done
793,tue,do
794,gefallen,fallen
795,Tja,Well
796,Boss,boss
797,überall,everywhere
798,Sieht,Sees
799,passieren,happen
800,lustig,funny
801,Licht,Light
802,gebracht,brought
803,nennen,to name
804,Folge,Consequence
805,Gefühl,Feeling
806,völlig,fully
807,denkt,thinks
808,Schlüssel,Key
809,drüben,over
810,Richtig,Correct
811,wieso,how come
812,Leuten,people
813,Buch,Book
814,laufen,run
815,spielt,plays
816,früher,earlier
817,Sein,Be
818,krank,sick
819,gegangen,gone
820,fand,found
821,Seine,His
822,Pass,passport
823,fühle,feel
824,Himmel,Heaven
825,froh,glad
826,leicht,light
827,direkt,direct
828,langsam,slow
829,wolltest,wanted
830,erinnern,remember
831,zuerst,first
832,Krankenhaus,hospital
833,Viel,Much
834,beste,best
835,welche,which
836,genommen,taken
837,Arzt,Physician
838,unserem,ours
839,Idiot,idiot
840,Machen,Make
841,glaubst,believe
842,jede,every
843,Ohne,Without
844,groß,large
845,hattest,had
846,Äh,Uh
847,Jungen,boys
848,Rest,rest
849,versuche,try
850,Tagen,days
851,nächste,next
852,Entschuldigen,Excuse
853,Doktor,doctor
854,spricht,speaks
855,könnt,can
856,hält,holds
857,Team,team
858,Verstanden,Understood
859,kämpfen,battle
860,heiraten,marry
861,könntest,could
862,Wow,Wow
863,Etwas,Something
864,Straße,Street
865,Mist,Crap
866,König,king
867,redest,talk
868,kleines,small
869,lebt,lives
870,erklären,explain
871,worden,been
872,Wiedersehen,Goodbye
873,Onkel,Uncle
874,kennst,know
875,sitzen,sit
876,dies,this
877,weniger,fewer
878,Kaffee,Coffee
879,ernst,serious
880,wollt,wanted
881,tragen,carry
882,Zeug,Things
883,trotzdem,despite it
884,Ihren,Your
885,kaufen,buy
886,Liste,list
887,ändern,change
888,Kampf,Battle
889,hasse,hate
890,Person,person
891,Mund,mouth
892,umbringen,kill
893,Präsident,president
894,Boden,Floor
895,Wohin,Where
896,machte,made
897,Party,party
898,gefragt,asked
899,Seht,See
900,irgendwo,somewhere
901,kümmern,take care
902,kennt,knows
903,verletzt,injured
904,Habt,Have
905,Nachricht,News
906,Willkommen,Welcome
907,vielen,many
908,hart,hard
909,lasse,let
910,total,total
911,Gefängnis,Jail
912,außer,except
913,Sicherheit,Security
914,Schnell,Fast
915,wem,whom
916,ehrlich,honest
917,interessiert,interested
918,Sex,sex
919,sagten,said
920,ziehen,pull
921,Welche,Which
922,Unser,Our
923,Augenblick,moment
924,angerufen,called
925,Klasse,Class
926,Bild,Picture
927,stark,strong
928,Dies,This
929,Eure,Your
930,zehn,ten
931,Sinn,sense
932,vorstellen,introduce
933,Traum,Dream
934,länger,longer
935,manchmal,sometimes
936,anrufen,call
937,sechs,six
938,Arschloch,asshole
939,sollst,you should
940,gestorben,died
941,Tages,day
942,war's,it was
943,verschwinden,disappear
944,Kraft,Power
945,gesprochen,spoken
946,heraus,out of here
947,genauso,just as
948,wärst,would be
949,Eins,One
950,heißen,be called
951,Liebling,Darling
952,wahrscheinlich,probably
953,deshalb,for this reason
954,Stelle,position
955,halt,stop
956,erwartet,expected
957,solche,such
958,meisten,most
959,bringe,bring
960,still,silent
961,umgebracht,killed
962,Stimme,Agree
963,General,general
964,Geben,Give
965,Entschuldige,Sorry
966,Vergiss,Forget
967,rede,speech
968,führen,lead
969,Bewegung,Movement
970,höre,listen
971,Sonst,Otherwise
972,Geschäft,Business
973,werdet,will
974,konnten,could
975,wartet,waits
976,Raus,Out
