,German,English
282,sollten,should
283,davon,of that
284,zusammen,together
285,geben,give
286,Ok,OK
287,Hör,Listen
288,machst,do
289,Freund,Friend
290,richtig,correct
291,Angst,Fear
292,Bist,Are
293,Tut,Does
294,Mit,With
295,viele,many
296,sieht,sees
297,Haus,House
298,tot,dead
299,sollen,should
300,ganze,whole
301,andere,other
302,getan,did
303,okay,OK
304,rein,pure
305,Diese,This
306,Moment,moment
307,bleiben,remain
308,brauchen,need
309,Weil,Because
310,Kinder,Children
311,unter,under
312,Arbeit,Work
313,Für,For
314,Problem,problem
315,dafür,for that
316,Herr,Mister
317,Haben,Have
318,wegen,because of
319,geht's,it's okay
320,liebe,love
321,genug,enough
322,dabei,included
323,bringen,bring
324,Ihre,Her
325,ne,no
326,gegen,against
327,Weißt,You know
328,Sag,Say
329,schnell,fast
330,nun,so
331,eines,one
332,brauche,need
333,Abend,Evening
334,hatten,had
335,Jahre,Years
336,Mach,Do
337,Bruder,Brother
338,Sache,Matter
339,hören,hear
340,komm,come
341,Sohn,Son
342,seit,since
343,Morgen,Morning
344,drei,three
345,steht,stands
346,Scheiße,shit
347,mag,likes
348,sei,be
349,unser,our
350,konnte,could
351,habt,have
352,Oder,Or
353,einmal,once
354,heißt,is called
355,OK,OK
356,Willst,Want
357,Kopf,Head
358,Hilfe,Help
359,Familie,Family
360,Geh,Go
361,Baby,baby
362,Dich,You
363,Sind,Are
364,erst,first
365,fertig,complete
366,gefunden,found
367,seid,are
368,kam,came
369,nehmen,take
370,morgen,morning
371,sprechen,speak
372,Mir,Me
373,sofort,immediately
374,Kann,Can
375,Hat,Has
376,Jahren,years
377,Kind,child
378,seinen,his
379,Genau,Exactly
380,daran,to it
381,Junge,Boy
382,Minuten,minutes
383,bevor,before
384,Stadt,City
385,beim,at the
386,sterben,die
387,warst,were
388,Recht,Right
389,glauben,believe
390,Warte,Wait
391,darüber,about it
392,deiner,yours
393,deinem,yours
394,Ende,End
395,He,Hey
396,Dinge,Things
397,Namen,names
398,wahr,true
399,Alle,All
400,allein,alone
401,Natürlich,Naturally
402,töten,kill
403,Nichts,Nothing
404,Wirklich,Really
405,bekommen,receive
406,Männer,Men
407,vergessen,forget
408,Doch,But
409,dazu,in addition
410,gab,gave
411,später,later
412,wusste,knew
413,Augen,Eyes
414,Dank,Thanks to
415,Freunde,Friends
416,Jungs,guys
417,halten,hold
418,warten,wait
419,Glück,Luck
420,beide,both
421,gute,good
422,Dein,Your
423,kennen,know
424,Deine,Your
425,n,n
426,Hi,Hi
427,Dr,Dr
428,Auto,car
429,sage,saw
430,gehe,go
431,komme,come
432,Dir,You
433,mache,make
434,Von,From
435,Uhr,Clock
436,sehe,see
437,Teufel,Devil
438,sonst,otherwise
439,Art,Art
440,gern,gladly
441,Liebe,Love
442,jeden,every
443,könnten,could
444,ihren,your
445,Halt,Stop
446,Fall,case
447,Dad,Dad
448,Film,film
449,bisschen,a little
450,eigentlich,actually
451,weit,far
452,mach,do
453,Gib,Give
454,vorbei,over
455,verstehe,understand
456,danke,Thanks
457,drin,inside
458,Im,In the
459,Name,name
460,ganzen,entire
461,Musik,Music
462,würden,would
463,Tür,door
464,verrückt,crazy
465,solltest,should
466,denken,think
467,Noch,Still
468,dran,your turn
469,Sieh,See
470,lieber,Dear
471,Den,The
472,leben,life
473,Guten,Good
474,Um,Um
475,darauf,on it
476,Kein,No
477,stimmt,true
478,Kerl,guy
479,letzte,last
480,Job,job
481,verloren,lost
482,wurden,became
483,kenne,know
484,Ahnung,Idea
485,seiner,his
486,Grund,Reason
487,toll,great
488,Bis,Until
489,Verdammt,Damned
490,bald,soon
491,bereit,ready
492,all,all
493,jemanden,someone
494,hinter,behind
495,Schon,Already
496,Sehr,Very
497,Hand,hand
498,darf,may
499,Dieser,This
500,Frauen,Women
501,Euch,You
502,Idee,idea
503,runter,down
504,Macht,Power
505,draußen,outside
506,lang,long
507,Land,country
508,lass,let
509,Typ,type
510,hätten,would have
511,egal,doesn't matter
512,arbeiten,work
513,spät,late
514,stehen,stand
515,ok,OK
516,Gute,Good
517,gekommen,came
518,Bei,At
519,etwa,approximately
520,essen,eat
521,kleine,small
522,jeder,everyone
523,Schwester,Sister
524,Wasser,Water
525,spielen,play
526,Geschichte,Story
527,seinem,his
528,liegt,lies
529,sah,saw
530,Mom,Mom
531,Seite,Page
532,wenig,few
533,ruhig,quiet
534,Frage,Ask
535,meinst,mean
536,überhaupt,at all
537,fahren,drive
538,Ganz,Quite
539,Gehen,Go
540,Essen,Eat
541,Ruhe,Quiet
542,echt,real
543,versucht,tried
544,Tochter,Daughter
545,Kommt,Comes
546,Einen,A
547,ging,went
548,Jahr,Year
549,braucht,needs
550,fast,almost
551,neue,new
552,geh,go
553,ziemlich,quite
554,anders,different
555,siehst,see
556,Polizei,police
557,Stunden,Hours
558,musste,had to
559,Spiel,Game
560,gewesen,been
561,gerne,gladly
562,finde,find
563,erzählt,told
564,Tod,Death
565,Ort,Location
566,Chance,chance
567,bedeutet,means
568,War,Was
569,sag,say
570,sagst,say
571,fragen,questions
572,letzten,last
573,sogar,even
574,ersten,first
575,Sachen,Things
576,Wahrheit,Truth
577,einzige,only
578,kurz,short
579,denen,those
580,Spaß,Fun
581,Nach,After
582,oben,above
583,Mama,mama
584,schwer,difficult
585,Schule,School
586,je,ever
587,eben,even
588,Gesicht,Face
589,bestimmt,certainly
590,treffen,meet
591,niemand,no one
592,Woche,Week
593,Entschuldigung,Excuse me
594,Sorgen,Care for
595,warte,wait
596,natürlich,naturally
597,schlecht,bad
598,große,size
599,getötet,killed
600,verstehen,understand
601,hoffe,hope
602,Ah,Uh
603,Sei,Be
604,Zimmer,Room
605,hoch,high
606,unserer,ours
607,Tage,days
608,Teil,Part
609,Wann,When
610,suchen,seek
611,verlassen,leave
612,zeigen,show
613,wollten,wanted
614,lässt,lets
615,Wort,Word
616,eins,one
617,zwischen,between
618,Woher,From where
619,Schatz,Treasure
620,Wissen,To know
621,versuchen,attempt
622,Können,Can
623,Kannst,Can
624,nett,nice
625,Zu,To
626,kriegen,get
627,Geht,Goes
628,Arsch,ass
629,kleinen,small
630,Hab,Have
631,weiss,white
632,erste,first
633,läuft,running
634,kommst,come
635,Freundin,Girlfriend
636,Mensch,Person
637,beiden,both
638,Ding,thing
639,niemals,never
640,endlich,finally
641,Nimm,Take
642,muß,must
643,gehst,go
644,Heute,Today
645,denkst,think
646,Herz,Heart
647,Waffe,weapon
648,Soll,Should
649,tust,do
650,Dollar,dollar
651,nehme,take
652,Schau,Look
653,holen,fetch
654,oft,often
655,drauf,on it
656,anderes,other
657,Niemand,No one
658,unten,below
659,Wagen,Dare
660,Yeah,Yeah
661,Schön,Nice
662,wichtig,important
663,hättest,would have
664,allen,everyone
665,Miss,Miss
666,ihrer,theirs
667,gedacht,thought
668,Nummer,number
669,würdest,would
670,erzählen,tell
671,bleibt,remains
672,Auch,Also
673,Hände,hands
674,Blut,blood
675,Sehen,See
676,bloß,just
677,recht,right
678,bringt,brings
679,Bett,Bed
680,Lassen,Let
681,Eltern,Parents
682,gefällt,pleases
683,Schuld,Fault
684,eure,your
685,Plan,plan
686,Krieg,War
687,neuen,new
688,Klar,Clear
689,retten,save
690,guter,goods
691,während,while
692,ihrem,theirs
693,wären,would be
694,Fehler,Mistake
695,scheint,appears
696,Lasst,Let
697,gegeben,given
698,An,To
699,hör,listen
700,glücklich,happy
701,verdammt,damned
702,alt,old
703,Platz,Place
704,darum,therefore
705,Vielen,Many
706,falsch,incorrect
707,unseren,ours
708,schlafen,sleep
709,Sagen,Say
710,nächsten,next
711,fünf,five
712,frei,free
713,Vor,Before
714,fest,firmly
715,bereits,already
716,alleine,alone
717,Denn,Because
718,Zwei,Two
719,Fragen,Questions
720,möglich,possible
721,irgendwie,somehow
722,Papa,papa
723,lernen,learn
724,gestern,yesterday
725,hierher,here
726,Schiff,Ship
727,vier,four
728,irgendwas,something
729,Stimmt,True
730,Menge,Crowd
731,keiner,none
732,brauchst,need
733,Typen,Types
734,Dass,That
735,Stunde,Hour
736,Szene,scene
737,Hölle,hell
738,einige,some
739,Deshalb,For this reason
740,geworden,become
741,Telefon,phone
742,Darf,May
743,Feuer,Fire
744,Wollen,Want
745,Bin,Am
746,Alter,Old
747,Captain,Captain
748,Aus,Out of
749,Dieses,This
750,Probleme,problems
751,Jeder,Everyone
752,verstanden,understood
753,wann,When
754,alten,old
755,gibt's,there is
756,sondern,rather
757,guten,good
758,zwar,that is
759,eigenen,own
760,New,New
761,Körper,Body
762,hört,hears
763,Zum,For the
764,gebe,give
765,Kumpel,Buddy
766,Hund,Dog
767,nochmal,again
768,hab's,got it
769,früh,early
770,Hören,Hear
771,trinken,drink
772,besten,best
773,meines,mine
774,schaffen,create
775,alte,old ones
776,Luft,Air
777,Jemand,Someone
778,dürfen,may
779,Meister,Master
780,Erde,Earth
781,Seit,Since
782,Sicher,secure
783,Hört,Listen
784,Zukunft,Future
785,kaum,barely
786,funktioniert,functions
787,voll,full
788,Bleib,Stay
789,reicht,suffices
790,weh,sore
791,stellen,place
792,Siehst,See
793,kleiner,smaller
794,großen,big
795,Waffen,Weapons
796,Büro,Office
797,Wahl,Choice
798,verlieren,lose
799,Wochen,weeks
800,Damit,With it
801,Stück,Piece
802,lieben,love
803,allem,everything
804,getroffen,met
805,äh,uh
806,Am,On
807,geschafft,done
808,tue,do
809,gefallen,fallen
810,Tja,Well
811,Boss,boss
812,überall,everywhere
813,Sieht,Sees
814,passieren,happen
815,lustig,funny
816,Licht,Light
817,gebracht,brought
818,nennen,to name
819,Folge,Consequence
820,Gefühl,Feeling
821,völlig,fully
822,denkt,thinks
823,Schlüssel,Key
824,drüben,over
825,Richtig,Correct
826,wieso,how come
827,Leuten,people
828,Buch,Book
829,laufen,run
830,spielt,plays
831,früher,earlier
832,Sein,Be
833,krank,sick
834,gegangen,gone
835,fand,found
836,Seine,His
837,Pass,passport
838,fühle,feel
839,Himmel,Heaven
840,froh,glad
841,leicht,light
842,direkt,direct
843,langsam,slow
844,wolltest,wanted
845,erinnern,remember
846,zuerst,first
847,Krankenhaus,hospital
848,Viel,Much
849,beste,best
850,welche,which
851,genommen,taken
852,Arzt,Physician
853,unserem,ours
854,Idiot,idiot
855,Machen,Make
856,glaubst,believe
857,jede,every
858,Ohne,Without
859,groß,large
860,hattest,had
861,Äh,Uh
862,Jungen,boys
863,Rest,rest
864,Unsere,Our
865,versuche,try
866,Tagen,days
867,nächste,next
868,Entschuldigen,Excuse
869,Doktor,doctor
870,spricht,speaks
871,könnt,can
872,hält,holds
873,Team,team
874,Verstanden,Understood
875,kämpfen,battle
876,heiraten,marry
877,könntest,could
878,Wow,Wow
879,Etwas,Something
880,Straße,Street
881,Mist,Crap
882,König,king
883,redest,talk
884,kleines,small
885,lebt,lives
886,erklären,explain
887,worden,been
888,Millionen,Millions
889,Onkel,Uncle
890,kennst,know
891,sitzen,sit
892,dies,this
893,weniger,fewer
894,Kaffee,Coffee
895,ernst,serious
896,wollt,wanted
897,tragen,carry
898,Zeug,Things
899,trotzdem,despite it
900,Ihren,Your
901,kaufen,buy
902,Liste,list
903,ändern,change
904,Kampf,Battle
905,hasse,hate
906,Person,person
907,Mund,mouth
908,umbringen,kill
909,Präsident,president
910,Boden,Floor
911,Wohin,Where
912,machte,made
913,Party,party
914,gefragt,asked
915,Seht,See
916,irgendwo,somewhere
917,kümmern,take care
918,kennt,knows
919,verletzt,injured
920,Habt,Have
921,Nachricht,News
922,Willkommen,Welcome
923,vielen,many
924,hart,hard
925,lasse,let
926,total,total
927,Gefängnis,Jail
928,außer,except
929,Sicherheit,Security
930,Schnell,Fast
931,wem,whom
932,ehrlich,honest
933,interessiert,interested
934,Sex,sex
935,sagten,said
936,ziehen,pull
937,Welche,Which
938,Unser,Our
939,Augenblick,moment
940,angerufen,called
941,aufhören,stop
942,Klasse,Class
943,Bild,Picture
944,stark,strong
945,Dies,This
946,Eure,Your
947,zehn,ten
948,Sinn,sense
949,vorstellen,introduce
950,Traum,Dream
951,länger,longer
952,manchmal,sometimes
953,anrufen,call
954,sechs,six
955,Arschloch,asshole
956,sollst,you should
957,gestorben,died
958,Tages,day
959,war's,it was
960,verschwinden,disappear
961,Kraft,Power
962,gesprochen,spoken
963,heraus,out of here
964,genauso,just as
965,wärst,would be
966,Eins,One
967,damals,at that time
968,heißen,be called
969,Liebling,Darling
970,wahrscheinlich,probably
971,deshalb,for this reason
972,Stelle,position
973,halt,stop
974,erwartet,expected
975,solche,such
976,meisten,most
977,bringe,bring
978,still,silent
979,umgebracht,killed
980,Stimme,Agree
981,General,general
982,Geben,Give
983,Entschuldige,Sorry
984,Vergiss,Forget
985,rede,speech
986,führen,lead
987,Bewegung,Movement
988,höre,listen
989,Sonst,Otherwise
990,Geschäft,Business
991,werdet,will
992,konnten,could
993,wartet,waits
994,Raus,Out
